184.601,1382490085
184.601,1382490093
184.601,1382490101
184.601,1382490109
184.601,1382490153
184.601,1382490161
184.601,1382490163
184.601,1382490173
184.601,1382490181
185.198,1382490189
184.601,1382490197
184.601,1382490205
184.601,1382490223
184.601,1382490231
184.601,1382490237
185.196,1382490247
185.196,1382490255
185.196,1382490263
184.601,1382490271
184.601,1382490279
184.601,1382490289
184.601,1382490298
184.601,1382490306
184.601,1382490314
184.601,1382490322
184.601,1382490330
184.601,1382490338
184.601,1382490348
184.601,1382490356
184.601,1382490364
184.601,1382490372
184.601,1382490380
184.601,1382490388
184.601,1382490396
184.601,1382490406
184.601,1382490414
184.601,1382490422
184.601,1382490430
184.61,1382490438
184.61,1382490446
184.61,1382490454
185.176,1382490464
185.176,1382490472
185.175,1382490480
184.61,1382490488
184.61,1382490496
184.61,1382490504
184.61,1382490512
184.61,1382490522
184.61,1382490530
184.61,1382490538
184.61,1382490546
184,1382490554
185.099,1382490562
185.099,1382490570
185.099,1382490580
185.099,1382490588
185,1382490596
185.099,1382490604
184.95,1382490612
185,1382490620
185,1382490628
185,1382490636
185,1382490646
185,1382490654
184.599,1382490662
184.599,1382490670
184.239,1382490678
184.239,1382490686
184.239,1382490694
184.239,1382490704
184.239,1382490712
184,1382490720
184,1382490728
184,1382490736
184,1382490744
184,1382490752
184,1382490762
184.239,1382490770
184.239,1382490778
184.239,1382490786
184.239,1382490794
184.239,1382490802
184.239,1382490810
184,1382490820
184,1382490828
184,1382490836
184,1382490844
184,1382490852
184,1382490860
184,1382490868
184,1382490878
184,1382490886
184,1382490894
184,1382490902
183.55,1382490910
183.55,1382490918
183.789,1382490926
183.789,1382490936
183.789,1382490944
183.789,1382490952
183.789,1382490960
183.789,1382490968
183.789,1382490976
183.789,1382490984
183.789,1382490992
184,1382491002
184,1382491010
184,1382491018
184.148,1382491026
184.23,1382491034
184.229,1382491042
184.239,1382491052
184.289,1382491060
184.45,1382491068
184.289,1382491076
184.239,1382491086
184.239,1382491094
184.229,1382491102
184.239,1382491110
184.192,1382491118
184.229,1382491128
184.229,1382491136
184.2,1382491144
184.2,1382491152
184.2,1382491160
184.2,1382491168
184.2,1382491176
184.2,1382491186
184.2,1382491194
184.2,1382491202
